Address,2019 EUI,2020 EUI,2021 EUI,GFA,postal_code,plan_area
"91 JALAN BAHAR, SINGAPORE 649735",90.65522500144418,87.14268470914448,83.29640777540293,34622.0,649735,WESTERN WATER CATCHMENT
"3A INTERNATIONAL BUSINESS PARK, SINGAPORE 609935",96.04966646408168,84.61164191078157,81.80558235079616,41135.0,609935,JURONG EAST
"20 CECIL STREET, SINGAPORE 049705",89.30332581910262,74.7225890127536,81.55093722014637,32383.0,049705,DOWNTOWN CORE
"3 BULIM DRIVE, SINGAPORE 648172",,81.87375405865073,81.0583507704994,19403.0,648172,JURONG WEST
"18 NAPIER ROAD, SINGAPORE 258510",93.15114982578396,82.20067648412333,80.42523305502597,15211.0,258510,TANGLIN
"1 DEFU AVENUE 1, SINGAPORE 539540",81.53158946505431,83.4483844025415,80.14834289813487,19516.0,539540,HOUGANG
"1 KAY SIANG ROAD, SINGAPORE 248922",98.11135710025845,83.39256444238286,78.1235252799682,15091.0,248922,QUEENSTOWN
"501 OLD CHOA CHU KANG ROAD, SINGAPORE 698928",89.93638026591412,84.32239613639008,77.73688467357152,137488.0,698928,WESTERN WATER CATCHMENT
"307 ALEXANDRA ROAD, SINGAPORE 159943",80.492581361835,77.48713222048757,77.5657169448781,16654.0,159943,BUKIT MERAH
"29 INTERNATIONAL BUSINESS PARK, SINGAPORE 609923",123.49666986104455,92.18101740935954,76.35729436192302,25044.0,609923,JURONG EAST
"298 JALAN BUKIT HO SWEE, SINGAPORE 169565",,57.3832571195726,69.0238443428261,22087.0,169565,BUKIT MERAH
"9 JURONG TOWN HALL ROAD, SINGAPORE 609431",77.15747333130143,65.2726310576044,65.98735637000914,26248.0,609431,JURONG EAST
"168 JALAN BUKIT MERAH, SINGAPORE 150168",133.10567839826115,167.68094800200635,65.45095030291405,62559.0,150168,BUKIT MERAH
"80 ANSON ROAD, SINGAPORE 079907",157.0052004600723,128.4367236279987,48.435589878409466,48688.0,079907,DOWNTOWN CORE
"51 GRANGE ROAD, SINGAPORE 249564",74.29467154331613,51.81281411359725,48.30680436029834,20916.0,249564,TANGLIN
"21 COLLYER QUAY, SINGAPORE 049320",209.28953978128985,83.41048726766877,41.210324973917075,25879.0,049320,DOWNTOWN CORE
"273 BRADDELL ROAD, SINGAPORE 579702",64.0596704764732,47.467962990450744,40.08881302261145,20211.0,579702,TOA PAYOH
"200 BRADDELL ROAD, SINGAPORE 579700",39.021060798921795,37.80297092042062,39.00372257561989,46218.0,579700,BISHAN
"10 WOODLANDS AVENUE 8, SINGAPORE 738973",38.899824144947196,53.52528437166941,34.921141846720275,20642.0,738973,WOODLANDS
"1 SCIENCE PARK DRIVE, SINGAPORE 118221",344.58952897534215,286.5167243367935,32.73333021602918,32079.0,118221,QUEENSTOWN
"5 BISHAN STREET 14, SINGAPORE 579783",32.150386167146976,24.66907204610951,29.981680691642648,43375.0,579783,BISHAN
"21 JURONG EAST STREET 31, SINGAPORE 609517",40.574636264810195,32.553856416563264,27.471991347220236,91069.0,609517,JURONG EAST
"3 FUSIONOPOLIS LINK, SINGAPORE 138543",23.484033712269696,19.95894982359859,19.832110544884358,25510.0,138543,QUEENSTOWN
